Nr,exercise,question,answer,case,german,english
478,10,Was steckt _____ dieser Geschichte?,hinter,,Was steckt hinter dieser Geschichte?,What's behind this story?
479,10,_____ dem Haus ist ein Garten.,Hinter,,Hinter dem Haus ist ein Garten.,Behind the house is a garden.
480,10,Der Fisch schwimmt _____ Wasser.,im,,Der Fisch schwimmt im Wasser.,The fish swims in the water.
481,10,Ich bin _____ der Schule.,in,,Ich bin in der Schule.,I am in school.
482,10,Das Buch ist _____ der Tasche.,in,,Das Buch ist in der Tasche.,The book is in the bag.
483,10,Er schreibt _____ einem Stift.,mit,,Er schreibt mit einem Stift.,He writes with a pen.
484,10,Wir sprechen _____ dem Lehrer.,mit,,Wir sprechen mit dem Lehrer.,We speak with the teacher.
485,10,_____ dem Essen spüle ich das Geschirr.,Nach,,Nach dem Essen spüle ich das Geschirr.,"After the meal, I wash the dishes."
486,10,_____ langer Zeit sehen wir uns wieder.,Nach,,Nach langer Zeit sehen wir uns wieder.,"After a long time, we see each other again."
487,10,Er stellt die Lampe _____ das Bett.,neben,,Er stellt die Lampe neben das Bett.,He puts the lamp next to the bed.
488,10,_____ Deutsch spreche ich auch Englisch.,Neben,,Neben Deutsch spreche ich auch Englisch.,"Besides German, I also speak English."
489,10,Ich kann _____ meine Brille nicht lesen.,ohne,,Ich kann ohne meine Brille nicht lesen.,I can't read without my glasses.
490,10,_____ Geld kann man nichts kaufen.,Ohne,,Ohne Geld kann man nichts kaufen.,"Without money, you can't buy anything."
491,10,_____ dem Unfall kann er nicht mehr laufen.,Seit,,Seit dem Unfall kann er nicht mehr laufen.,"Since the accident, he can no longer walk."
492,10,_____ wann lernst du Deutsch?,Seit,,Seit wann lernst du Deutsch?,How long have you been learning German?
493,10,Der Film ist _____ das Leben eines Künstlers.,über,,Der Film ist über das Leben eines Künstlers.,The film is about the life of an artist.
494,10,Wir sitzen _____ den Tisch.,um,,Wir sitzen um den Tisch.,We are sitting around the table.
495,10,Die Temperatur ist _____ null Grad.,unter,,Die Temperatur ist unter null Grad.,The temperature is below zero degrees.
496,10,Schreib deinen Namen _____ den Text.,unter,,Schreib deinen Namen unter den Text.,Write your name under the text.
497,10,Ich habe das _____ meinem Vater gelernt.,von,,Ich habe das von meinem Vater gelernt.,I learned that from my father.
498,10,Er ist krank _____ der Reise.,von,,Er ist krank von der Reise.,He is sick from the trip.
499,10,_____ zwei Jahren war ich in Italien.,Vor,,Vor zwei Jahren war ich in Italien.,"Two years ago, I was in Italy."
500,10,Ich habe ihn _____ zwei Tagen gesehen.,vor,,Ich habe ihn vor zwei Tagen gesehen.,I saw him two days ago.
501,10,Die Kinder gehen _____ Fuß zur Schule.,zu,,Die Kinder gehen zu Fuß zur Schule.,The children walk to school.
502,10,Er kam _____ Pferd zur Hochzeit.,zu,,Er kam zu Pferd zur Hochzeit.,He arrived at the wedding on horseback.
503,10,_____ Schluss möchte ich mich bedanken.,Zum,,Zum Schluss möchte ich mich bedanken.,"In conclusion, I would like to thank you."
504,10,_____ Frühstück esse ich Brot.,Zum,,Zum Frühstück esse ich Brot.,"For breakfast, I eat bread."
505,10,Es gibt einen Unterschied _____ diesen beiden Büchern.,zwischen,,Es gibt einen Unterschied zwischen diesen beiden Büchern.,There is a difference between these two books.
506,10,_____ uns gibt es keine Geheimnisse.,Zwischen,,Zwischen uns gibt es keine Geheimnisse.,There are no secrets between us.
507,11,Schreib deinen Namen _____ die Zahl.,hinter,,Schreib deinen Namen hinter die Zahl.,Write your name behind the number.
508,11,Das Haus ist _____ dem Baum.,hinter,,Das Haus ist hinter dem Baum.,The house is behind the tree.
509,11,Sie kommt _____ ihre Kinder.,ohne,,Sie kommt ohne ihre Kinder.,She comes without her children.
510,11,Die Erde dreht sich _____ die Sonne.,um,,Die Erde dreht sich um die Sonne.,The Earth revolves around the sun.
511,11,Hausaufgaben sind _____ der 3. Klasse Pflicht.,ab,,Hausaufgaben sind ab der 3. Klasse Pflicht.,Homework is compulsory from the 3rd grade.
512,11,_____ dem dritten Lied wurde das Konzert richtig spannend.,Ab,,Ab dem dritten Lied wurde das Konzert richtig spannend.,"From the third song, the concert became really exciting."
513,11,_____ 4. Dezember 2025 habe ich einen Zahnarzttermin.,Am,,Am 4. Dezember 2025 habe ich einen Zahnarzttermin.,"I have a dentist appointment on December 4, 2025."
514,11,Wir machen _____ 15. Juli eine Grillparty.,am,,Wir machen am 15. Juli eine Grillparty.,We're having a barbecue on July 15.
515,11,Die Lampe ist _____ der Decke.,an,,Die Lampe ist an der Decke.,The lamp is on the ceiling.
516,11,Wir fahren _____ den See.,an,,Wir fahren an den See.,We drive to the lake.
517,11,Sie schreibt _____ dem Papier,auf,,Sie schreibt auf dem Papier,She writes on the paper
518,11,Ich gehe _____ die Party,auf,,Ich gehe auf die Party,I go to the party
519,11,Er ist nicht gern _____ großen Feiern.,auf,,Er ist nicht gern auf großen Feiern.,He doesn't like being at big parties.
520,11,Die Geschichte ist _____ dem Buch.,aus,,Die Geschichte ist aus dem Buch.,The story is from the book.
521,11,Dieses Möbelstück ist _____ dem 18. Jahrhundert.,aus,,Dieses Möbelstück ist aus dem 18. Jahrhundert.,This piece of furniture is from the 18th century.
522,11,Dieses Buch ist _____ dem Jahr 1675.,aus,,Dieses Buch ist aus dem Jahr 1675.,This book is from the year 1675.
523,11,Er ist _____ guter Gesundheit.,bei,,Er ist bei guter Gesundheit.,He is in good health.
524,11,Ich wohne _____ meiner Familie.,bei,,Ich wohne bei meiner Familie.,I live with my family.
525,11,Der Bus fährt _____ zur Grenze.,bis,,Der Bus fährt bis zur Grenze.,The bus goes up to the border.
526,11,Ich gehe _____ zur Information und frage nach dem Weg.,bis,,Ich gehe bis zur Information und frage nach dem Weg.,I’ll go to the information desk and ask for directions.
527,11,Er hat das _____ seinen Freund getan.,für,,Er hat das für seinen Freund getan.,He did that for his friend.
528,11,Das Rezept ist _____ vier Personen.,für,,Das Rezept ist für vier Personen.,The recipe is for four people.
529,11,Stell die Leiter _____ die Wand.,gegen,,Stell die Leiter gegen die Wand.,Put the ladder against the wall.
530,11,Ich habe nichts _____ ihn.,gegen,,Ich habe nichts gegen ihn.,I have nothing against him.
531,11,Wir kämpfen _____ die Ungerechtigkeit.,gegen,,Wir kämpfen gegen die Ungerechtigkeit.,We fight against injustice.
532,11,Sie versteckt sich _____ der Tür.,hinter,,Sie versteckt sich hinter der Tür.,She is hiding behind the door.
533,11,Ich habe es _____ meinen Rücken getan.,hinter,,Ich habe es hinter meinen Rücken getan.,I did it behind my back.
534,11,Wir wohnen _____ Berlin.,in,,Wir wohnen in Berlin.,We live in Berlin.
535,11,Wir treffen uns _____ einer Stunde.,in,,Wir treffen uns in einer Stunde.,We will meet in one hour.
536,11,_____ dem Auto dauert es länger.,Mit,,Mit dem Auto dauert es länger.,By car it takes longer.
537,11,Ich gehe _____ dir ins Kino.,mit,,Ich gehe mit dir ins Kino.,I go to the cinema with you.
538,11,Ich gehe _____ Hause.,nach,,Ich gehe nach Hause.,I am going home.
539,11,Ich arbeite _____ meinem Studium.,neben,,Ich arbeite neben meinem Studium.,I work alongside my studies.
540,11,_____ mir sass ein netter Mann.,Neben,,Neben mir sass ein netter Mann.,Next to me sat a nice man.
541,11,Er hat die Prüfung _____ Probleme bestanden.,ohne,,Er hat die Prüfung ohne Probleme bestanden.,He passed the exam without problems.
542,11,_____ zu zögern half er mir.,Ohne,,Ohne zu zögern half er mir.,"Without hesitating, he helped me."
543,11,Ich kenne ihn _____ meiner Kindheit.,seit,,Ich kenne ihn seit meiner Kindheit.,I have known him since my childhood.
544,11,_____ dem frühen Morgen regnet es.,Seit,,Seit dem frühen Morgen regnet es.,It has been raining since early morning.
545,11,Er springt _____ den Graben.,über,,Er springt über den Graben.,He jumps over the ditch.
546,11,_____ wie viel Uhr kommst du?,Um,,Um wie viel Uhr kommst du?,What time are you coming?
547,11,Er läuft _____ den Block.,um,,Er läuft um den Block.,He runs around the block.
548,11,Die Katze versteckt sich _____ dem Bett.,unter,,Die Katze versteckt sich unter dem Bett.,The cat is hiding under the bed.
549,11,Das ist ein Lied _____ den Beatles.,von,,Das ist ein Lied von den Beatles.,That is a song by the Beatles.
550,11,Ich bin müde _____ der Arbeit.,von,,Ich bin müde von der Arbeit.,I am tired from work.
551,11,_____ einem Jahr bin ich nach Deutschland gezogen.,Vor,,Vor einem Jahr bin ich nach Deutschland gezogen.,I moved to Germany a year ago.
552,11,Wir haben _____ einer Woche die Prüfung geschrieben.,vor,,Wir haben vor einer Woche die Prüfung geschrieben.,We took the exam a week ago.
553,11,Ich habe keine Zeit _____ Lesen.,zum,,Ich habe keine Zeit zum Lesen.,I have no time to read.
554,11,Ich gehe _____ Bahnhof.,zum,,Ich gehe zum Bahnhof.,I am going to the train station.
555,11,Wir fahren _____ Strand.,zum,,Wir fahren zum Strand.,We are driving to the beach.
556,11,Ich gratuliere dir _____ Geburtstag.,zum,,Ich gratuliere dir zum Geburtstag.,I congratulate you on your birthday.
557,11,Leg das Buch _____ die anderen Bücher.,zwischen,,Leg das Buch zwischen die anderen Bücher.,Put the book between the other books.
558,11,_____ den Jahren feiert man Silvester.,Zwischen,,Zwischen den Jahren feiert man Silvester.,"Between the years, one celebrates New Year's Eve."
559,12,_____ all den Gästen kannte ich nur wenige Leute.,Zwischen,,Zwischen all den Gästen kannte ich nur wenige Leute.,"Among all the guests, I knew only a few people."
560,12,Er fühlt sich _____ seinen Kollegen manchmal ausgeschlossen.,zwischen/unter,,Er fühlt sich zwischen seinen Kollegen manchmal ausgeschlossen.,He sometimes feels excluded among his colleagues.
561,12,_____ den vielen Büchern fand ich ein altes Foto.,Zwischen,,Zwischen den vielen Büchern fand ich ein altes Foto.,"Among the many books, I found an old photo."
562,12,_____ den Schülern gibt es große Unterschiede.,Zwischen,,Zwischen den Schülern gibt es große Unterschiede.,There are big differences among the students.
563,12,_____ den Meinungen herrscht kein klarer Konsens.,Zwischen,,Zwischen den Meinungen herrscht kein klarer Konsens.,There is no clear consensus among the opinions.
564,12,Er ist sehr beliebt _____ seinen Kollegen.,unter/bei,,Er ist sehr beliebt unter seinen Kollegen.,He is very popular among his colleagues.
565,12,_____ den Gästen war auch ein berühmter Schauspieler.,Unter/Bei,,Unter den Gästen war auch ein berühmter Schauspieler.,Among the guests was also a famous actor.
566,12,_____ den Schülern gibt es viele Talente.,Unter/Bei,,Unter den Schülern gibt es viele Talente.,There are many talents among the students.
567,12,_____ Freunden spricht man offen über alles.,Unter/Bei,,Unter Freunden spricht man offen über alles.,"Among friends, people speak openly about everything."
568,12,_____ den Vorschlägen war keiner wirklich überzeugend.,Unter/Zwischen,,Unter den Vorschlägen war keiner wirklich überzeugend.,None of the suggestions were really convincing.
569,12,_____ Jugendlichen ist dieses Lied sehr beliebt.,Bei/Unter,,Bei Jugendlichen ist dieses Lied sehr beliebt.,This song is very popular among teenagers.
570,12,_____ diesem Wetter gehe ich nicht raus.,Bei/Unter,,Bei diesem Wetter gehe ich nicht raus.,I'm not going outside in this weather.
571,12,_____ unseren Kunden kommt das neue Design gut an.,Bei,,Bei unseren Kunden kommt das neue Design gut an.,The new design is well received among our customers.
572,12,_____ der Besprechung gab es viele Fragen.,Bei,,Bei der Besprechung gab es viele Fragen.,There were many questions during the meeting.
573,12,_____ Katzen ist dieses Verhalten normal.,Bei,,Bei Katzen ist dieses Verhalten normal.,This behavior is normal among cats.
574,12,Der Tisch ist _____ massivem Holz gefertigt.,aus,,Der Tisch ist aus massivem Holz gefertigt.,The table is made of solid wood.
575,12,Diese Schale ist _____ Keramik und handbemalt.,aus,,Diese Schale ist aus Keramik und handbemalt.,This bowl is made of ceramic and hand-painted.
576,12,Die Brücke wurde _____ Stahl gebaut.,aus,,Die Brücke wurde aus Stahl gebaut.,The bridge was built from steel.
577,12,Seine Jacke ist _____ Leder und sehr teuer.,aus,,Seine Jacke ist aus Leder und sehr teuer.,His jacket is made of leather and very expensive.
578,12,Das Haus wurde _____ alten Ziegeln restauriert.,aus,,Das Haus wurde aus alten Ziegeln restauriert.,The house was restored using old bricks.
579,12,Sie steht mit ihrem Lied _____ Platz eins der Charts.,auf,,Sie steht mit ihrem Lied auf Platz eins der Charts.,Her song is at number one in the charts.
580,12,Unsere Mannschaft ist _____ Platz drei der Tabelle.,auf,,Unsere Mannschaft ist auf Platz drei der Tabelle.,Our team is in third place in the league table.
581,12,Der Film landete sofort _____ Platz zwei.,auf,,Der Film landete sofort auf Platz zwei.,The movie immediately landed in second place.
582,12,"Er kämpft, um wieder _____ Platz eins zu kommen.",auf,,"Er kämpft, um wieder auf Platz eins zu kommen.",He's fighting to get back to first place.
583,12,_____ Platz fünf ist ein Überraschungskandidat.,Auf,,Auf Platz fünf ist ein Überraschungskandidat.,In fifth place is a surprise candidate.
584,12,Der Präsident wurde _____ vier Jahre gewählt.,auf,,Der Präsident wurde auf vier Jahre gewählt.,The president was elected for four years.
585,12,Sie haben die Wohnung _____ zwei Jahre gemietet.,auf,,Sie haben die Wohnung auf zwei Jahre gemietet.,They rented the apartment for two years.
586,12,Er ist _____ unbestimmte Zeit im Ausland.,auf,,Er ist auf unbestimmte Zeit im Ausland.,He is abroad for an indefinite period.
587,12,Wir haben den Vertrag _____ ein Jahr verlängert.,auf,,Wir haben den Vertrag auf ein Jahr verlängert.,We extended the contract for one year.
588,12,Die Ausstellung ist _____ drei Monate geplant.,auf,,Die Ausstellung ist auf drei Monate geplant.,The exhibition is planned for three months.
589,12,Das kostet zwischen 50 _____ 60 Euro.,bis,,Das kostet zwischen 50 bis 60 Euro.,That costs between 50 to 60 euros.
590,12,Wir erwarten 20 _____ 30 Teilnehmer.,bis,,Wir erwarten 20 bis 30 Teilnehmer.,We’re expecting 20 to 30 participants.
591,12,Die Fahrt dauert etwa zwei _____ drei Stunden.,bis,,Die Fahrt dauert etwa zwei bis drei Stunden.,The trip takes about two to three hours.
592,12,Er arbeitet jeden Tag von 9 _____ 18 Uhr.,bis,,Er arbeitet jeden Tag von 9 bis 18 Uhr.,He works every day from 9 a.m. to 6 p.m.
593,12,Die Temperaturen liegen bei 15 _____ 20 Grad.,bis,,Die Temperaturen liegen bei 15 bis 20 Grad.,Temperatures are between 15 and 20 degrees.
594,12,_____ fünf Jahren lernte er lesen.,Mit,,Mit fünf Jahren lernte er lesen.,He learned to read at the age of five.
595,12,"Sie fing _____ sechs Jahren an, Klavier zu spielen.",mit,,"Sie fing mit sechs Jahren an, Klavier zu spielen.",She started playing the piano at six years old.
596,12,_____ zehn Jahren zog er mit seiner Familie um.,Mit,,Mit zehn Jahren zog er mit seiner Familie um.,"At the age of ten, he moved with his family."
597,12,Ich habe _____ acht Jahren mein erstes Buch geschrieben.,mit,,Ich habe mit acht Jahren mein erstes Buch geschrieben.,I wrote my first book at the age of eight.
598,12,_____ zwölf Jahren durfte sie zum ersten Mal allein reisen.,Mit,,Mit zwölf Jahren durfte sie zum ersten Mal allein reisen.,"At twelve, she was allowed to travel alone for the first time."
599,12,Das Wohnzimmerfenster zeigt _____ Süden.,nach,,Das Wohnzimmerfenster zeigt nach Süden.,The living room window faces south.
600,12,Unser Hotelzimmer geht _____ hinten raus.,nach,,Unser Hotelzimmer geht nach hinten raus.,Our hotel room faces the back.
601,12,Der Balkon zeigt _____ Westen und bekommt viel Sonne.,nach,,Der Balkon zeigt nach Westen und bekommt viel Sonne.,The balcony faces west and gets a lot of sun.
602,12,Sie saß mit dem Gesicht _____ vorne.,nach,,Sie saß mit dem Gesicht nach vorne.,She sat facing forward.
603,12,Die Kamera ist _____ oben gerichtet.,nach,,Die Kamera ist nach oben gerichtet.,The camera is pointed upward.
604,12,Wolken zogen schnell _____ den Himmel.,über,,Wolken zogen schnell über den Himmel.,Clouds moved quickly across the sky.
605,12,Ein Vogel flog _____ das Feld.,über,,Ein Vogel flog über das Feld.,A bird flew across the field.
606,12,Die Kinder rannten lachend _____ die Wiese.,über,,Die Kinder rannten lachend über die Wiese.,The children ran laughing across the meadow.
607,12,Der Wind wehte stark _____ das Land.,über,,Der Wind wehte stark über das Land.,The wind blew strongly across the land.
608,12,Ein Schatten glitt lautlos _____ den Boden.,über,,Ein Schatten glitt lautlos über den Boden.,A shadow silently glided across the ground.
609,12,Wir sind _____ Frankfurt nach München geflogen.,über,,Wir sind über Frankfurt nach München geflogen.,We flew to Munich via Frankfurt.
610,12,Der Zug fährt _____ Köln nach Brüssel.,über,,Der Zug fährt über Köln nach Brüssel.,The train goes to Brussels via Cologne.
611,12,Sie sind _____ die Alpen nach Italien gereist.,über,,Sie sind über die Alpen nach Italien gereist.,They traveled to Italy via the Alps.
612,12,Er kam _____ die Schweiz nach Frankreich.,über,,Er kam über die Schweiz nach Frankreich.,He came to France via Switzerland.
613,12,Wir fahren _____ die Autobahn A9 nach Leipzig.,über,,Wir fahren über die Autobahn A9 nach Leipzig.,We're driving to Leipzig via the A9 motorway.
614,12,Sie wurde _____ ihrer Angst befreit.,von,,Sie wurde von ihrer Angst befreit.,She was freed from her fear.
615,12,Das Land ist nun _____ der Diktatur erlöst.,von,,Das Land ist nun von der Diktatur erlöst.,The country is now liberated from the dictatorship.
616,12,Er hat sich _____ seinen alten Gewohnheiten getrennt.,von,,Er hat sich von seinen alten Gewohnheiten getrennt.,He separated himself from his old habits.
617,12,Die Patienten wurden _____ den Schmerzen befreit.,von,,Die Patienten wurden von den Schmerzen befreit.,The patients were relieved of their pain.
618,12,Das Unternehmen distanziert sich klar _____ dieser Aussage.,von,,Das Unternehmen distanziert sich klar von dieser Aussage.,The company clearly distances itself from this statement.
619,12,Der Größe nach kommt Dresden _____ Leipzig.,vor,,Der Größe nach kommt Dresden vor Leipzig.,"In terms of size, Dresden comes before Leipzig."
620,12,Nach Erfahrung steht sie _____ allen anderen Bewerbern.,vor,,Nach Erfahrung steht sie vor allen anderen Bewerbern.,"In terms of experience, she ranks above all other applicants."
621,12,_____ allem steht die Sicherheit der Gäste.,Vor,,Vor allem steht die Sicherheit der Gäste.,"Above all, the guests' safety comes first."
622,12,Qualität geht bei uns _____ Quantität.,vor,,Qualität geht bei uns vor Quantität.,"For us, quality comes before quantity."
623,12,Er stellt seine Arbeit immer _____ seine Freizeit.,vor,,Er stellt seine Arbeit immer vor seine Freizeit.,He always puts his work before his free time.
624,12,Nehmen Sie Milch und Zucker _____ Kaffee?,zum,,Nehmen Sie Milch und Zucker zum Kaffee?,Do you take milk and sugar with your coffee?
625,12,Es gibt Brot und Käse _____ Frühstück.,zum,,Es gibt Brot und Käse zum Frühstück.,There’s bread and cheese for breakfast.
626,12,_____ Fisch trinke ich gern Weißwein.,Zum,,Zum Fisch trinke ich gern Weißwein.,I like to drink white wine with fish.
627,12,_____ Abendessen gab es eine Suppe.,Zum,,Zum Abendessen gab es eine Suppe.,There was soup for dinner.
628,12,Er brachte einen Kuchen _____ Geburtstag mit.,zum,,Er brachte einen Kuchen zum Geburtstag mit.,He brought a cake for the birthday.
629,13,instead of,anstatt,Genitive,,
630,13,outside of,ausserhalb,Genitive,,
631,13,"through, across",durch,Accusative,,
632,13,"opposite of, across",gegenüber,Dative,,
633,13,"inside of, within",innerhalb,Genitive,,
634,13,according to (with Genitive),laut,Genitive (Dative colloquial),,
635,13,"despite, regardless of",trotz,Genitive (Dative colloquial),,
636,13,"during, throughout, while",während,Genitive,,
637,13,"due to, because of",wegen,Genitive (Dative colloquial),,
638,13,according to (with Dative),zufolge,Dative,,
639,14,_____ eines Autos kaufte er ein Fahrrad.,Anstatt,,Anstatt eines Autos kaufte er ein Fahrrad.,"Instead of a car, he bought a bicycle."
640,14,Sie trank Wasser _____ eines Softdrinks.,anstatt,,Sie trank Wasser anstatt eines Softdrinks.,She drank water instead of a soft drink.
641,14,_____ einer Entschuldigung gab er nur eine Ausrede.,Anstatt,,Anstatt einer Entschuldigung gab er nur eine Ausrede.,"Instead of an apology, he just gave an excuse."
642,14,Wir entschieden uns für eine Wanderung _____ eines Kinobesuchs.,anstatt,,Wir entschieden uns für eine Wanderung anstatt eines Kinobesuchs.,We chose to go hiking instead of going to the cinema.
643,14,"_____ eines grossen Geschenks machte er eine kleine, persönliche Geste.",Anstatt,,"Anstatt eines grossen Geschenks machte er eine kleine, persönliche Geste.","Instead of a big gift, he made a small, personal gesture."
644,14,_____ der Stadt gibt es viele schöne Wanderwege.,Ausserhalb,,Ausserhalb der Stadt gibt es viele schöne Wanderwege.,"Outside the city, there are many beautiful hiking trails."
645,14,Das Parken ist _____ der Geschäftszeiten kostenlos.,ausserhalb,,Das Parken ist ausserhalb der Geschäftszeiten kostenlos.,Parking is free outside business hours.
646,14,_____ meines Arbeitsbereichs kenne ich mich nicht so gut aus.,Ausserhalb,,Ausserhalb meines Arbeitsbereichs kenne ich mich nicht so gut aus.,"Outside of my field of work, I am not very knowledgeable."
647,14,"Wir wohnen _____ des Stadtzentrums, aber die Verbindung ist gut.",ausserhalb,,"Wir wohnen ausserhalb des Stadtzentrums, aber die Verbindung ist gut.","We live outside the city center, but the connection is good."
648,14,_____ der Schule treffe ich mich oft mit meinen Freunden.,Ausserhalb,,Ausserhalb der Schule treffe ich mich oft mit meinen Freunden.,"Outside of school, I often meet up with my friends."
649,14,Wir fahren _____ den Tunnel.,durch,,Wir fahren durch den Tunnel.,We drive through the tunnel.
650,14,Ich gehe _____ den Park.,durch,,Ich gehe durch den Park.,I walk through the park.
651,14,Der Brief kam _____ die Post.,durch,,Der Brief kam durch die Post.,The letter came by mail.
652,14,Der Fluss fliesst _____ die Stadt.,durch,,Der Fluss fliesst durch die Stadt.,The river flows through the city.
653,14,Man sieht _____ das Fenster.,durch,,Man sieht durch das Fenster.,One can see through the window.
654,14,Die Bank liegt _____ der Post.,gegenüber,,Die Bank liegt gegenüber der Post.,The bank is located across from the post office.
655,14,Mein Haus steht direkt _____ dem Park.,gegenüber,,Mein Haus steht direkt gegenüber dem Park.,My house is directly opposite the park.
656,14,Er war immer freundlich _____ seinen Kollegen.,gegenüber,,Er war immer freundlich gegenüber seinen Kollegen.,He was always friendly towards his colleagues.
657,14,_____ dem letzten Jahr hat sich das Wetter verbessert.,Gegenüber,,Gegenüber dem letzten Jahr hat sich das Wetter verbessert.,"Compared to last year, the weather has improved."
658,14,Sie sass mir im Café _____ und hat gelächelt.,gegenüber,,Sie sass mir im Café gegenüber und hat gelächelt.,She sat across from me in the café and smiled.
659,14,_____ der Stadt gibt es viele historische Gebäude.,Innerhalb,,Innerhalb der Stadt gibt es viele historische Gebäude.,"Within the city, there are many historical buildings."
660,14,Die Lieferung erfolgt _____ einer Woche.,innerhalb,,Die Lieferung erfolgt innerhalb einer Woche.,The delivery will take place within a week.
661,14,_____ des Unternehmens gab es viele Veränderungen.,Innerhalb,,Innerhalb des Unternehmens gab es viele Veränderungen.,There have been many changes within the company.
662,14,Bitte beantworten Sie die E-Mail _____ von 24 Stunden.,innerhalb,,Bitte beantworten Sie die E-Mail innerhalb von 24 Stunden.,Please reply to the email within 24 hours.
663,14,_____ der Schule gibt es strenge Regeln für die Nutzung von Handys.,Innerhalb,,Innerhalb der Schule gibt es strenge Regeln für die Nutzung von Handys.,"Inside the school, there are strict rules for the use of mobile phones."
664,14,_____ der Zeitung wird das Wetter morgen sonnig.,Laut,,Laut der Zeitung wird das Wetter morgen sonnig.,"According to the newspaper, the weather will be sunny tomorrow."
665,14,_____ dem Lehrer müssen wir das Buch bis nächste Woche lesen.,Laut,,Laut dem Lehrer müssen wir das Buch bis nächste Woche lesen.,"According to the teacher, we have to read the book by next week."
666,14,_____ einer Studie trinken Deutsche viel Kaffee.,Laut,,Laut einer Studie trinken Deutsche viel Kaffee.,"According to a study, Germans drink a lot of coffee."
667,14,_____ den Regeln ist das Rauchen hier verboten.,Laut,,Laut den Regeln ist das Rauchen hier verboten.,"According to the rules, smoking is prohibited here."
668,14,_____ meinem Freund ist das Restaurant sehr gut.,Laut,,Laut meinem Freund ist das Restaurant sehr gut.,"According to my friend, the restaurant is very good."
669,14,_____ des Regens gingen wir spazieren.,Trotz,,Trotz des Regens gingen wir spazieren.,"Despite the rain, we went for a walk."
670,14,Er bestand die Prüfung _____ seiner Nervosität.,trotz,,Er bestand die Prüfung trotz seiner Nervosität.,He passed the exam despite his nervousness.
671,14,_____ des schlechten Wetters fand das Konzert draussen statt.,Trotz,,Trotz des schlechten Wetters fand das Konzert draussen statt.,"Despite the bad weather, the concert took place outside."
672,14,"Sie kam pünktlich, _____ des Verkehrs.",trotz,,"Sie kam pünktlich, trotz des Verkehrs.",She arrived on time despite the traffic.
673,14,_____ seiner Müdigkeit arbeitete er bis spät in die Nacht.,Trotz,,Trotz seiner Müdigkeit arbeitete er bis spät in die Nacht.,"Despite his fatigue, he worked late into the night."
674,14,_____ des Essens sollte man nicht telefonieren.,Während,,Während des Essens sollte man nicht telefonieren.,"During the meal, one should not use the phone."
675,14,Er blieb ruhig _____ des gesamten Meetings.,während,,Er blieb ruhig während des gesamten Meetings.,He stayed calm throughout the entire meeting.
676,14,_____ des Sommers fahren viele Menschen in den Urlaub.,Während,,Während des Sommers fahren viele Menschen in den Urlaub.,"During the summer, many people go on vacation."
677,14,Sie hat viel gelernt _____ ihres Studiums.,während,,Sie hat viel gelernt während ihres Studiums.,She learned a lot during her studies.
678,14,_____ der Nacht sind die Straßen oft leer.,Während,,Während der Nacht sind die Straßen oft leer.,"During the night, the streets are often empty."
679,14,_____ des schlechten Wetters wurde das Spiel abgesagt.,Wegen,,Wegen des schlechten Wetters wurde das Spiel abgesagt.,"Because of the bad weather, the game was canceled."
680,14,Er konnte nicht kommen _____ einer wichtigen Besprechung.,wegen,,Er konnte nicht kommen wegen einer wichtigen Besprechung.,He couldn't come because of an important meeting.
681,14,_____ des Verkehrs sind wir zu spät gekommen.,Wegen,,Wegen des Verkehrs sind wir zu spät gekommen.,"Because of the traffic, we arrived late."
682,14,Sie war traurig _____ der schlechten Nachricht.,wegen,,Sie war traurig wegen der schlechten Nachricht.,She was sad because of the bad news.
683,14,_____ seines Fleisses hat er die Beförderung bekommen.,Wegen,,Wegen seines Fleisses hat er die Beförderung bekommen.,"Because of his diligence, he got the promotion."
684,14,Einer aktuellen Studie _____ schlafen Jugendliche heutzutage weniger als früher.,zufolge,,Einer aktuellen Studie zufolge schlafen Jugendliche heutzutage weniger als früher.,"According to a recent study, teenagers sleep less nowadays than in the past."
685,14,Dem Bericht _____ wird die Wirtschaft im nächsten Jahr langsamer wachsen.,zufolge,,Dem Bericht zufolge wird die Wirtschaft im nächsten Jahr langsamer wachsen.,"According to the report, the economy will grow more slowly next year."
686,14,Den Experten _____ ist eine schnelle Lösung des Problems unwahrscheinlich.,zufolge,,Den Experten zufolge ist eine schnelle Lösung des Problems unwahrscheinlich.,"According to experts, a quick solution to the problem is unlikely."
687,14,Medienberichten _____ gab es mehrere Verletzte beim Unfall.,zufolge,,Medienberichten zufolge gab es mehrere Verletzte beim Unfall.,"According to media reports, there were several injuries in the accident."
688,14,Der Polizei _____ wurde der Verdächtige am frühen Morgen festgenommen.,zufolge,,Der Polizei zufolge wurde der Verdächtige am frühen Morgen festgenommen.,"According to the police, the suspect was arrested early in the morning."
689,15,_____ wachsender Erfahrung wurde er immer selbstsicherer.,Mit,,Mit wachsender Erfahrung wurde er immer selbstsicherer.,"With growing experience, he became more and more confident."
690,15,_____ jeder Wiederholung verstand ich den Text besser.,Mit,,Mit jeder Wiederholung verstand ich den Text besser.,"With each repetition, I understood the text better."
691,15,_____ zunehmender Verantwortung steigen auch die Erwartungen.,Mit,,Mit zunehmender Verantwortung steigen auch die Erwartungen.,"As responsibility increases, so do expectations."
692,15,_____ der Zeit entwickelten sich neue Lösungsansätze.,Mit,,Mit der Zeit entwickelten sich neue Lösungsansätze.,"Over time, new approaches emerged."
